nome;estacao_cod;latitude;longitude;data;max_temp;min_temp;amplitude
BARBACENA;A502;-21.228333;-43.767778;2019-11-30;26.50;17.50;9.00
BARBACENA;A502;-21.228333;-43.767778;2019-11-30;26.50;17.50;9.00
BARBACENA;A502;-21.228333;-43.767778;2019-12-01;29.30;19.00;10.30
BARBACENA;A502;-21.228333;-43.767778;2019-12-02;26.20;17.00;9.20
BARBACENA;A502;-21.228333;-43.767778;2019-12-03;21.00;14.20;6.80
BARBACENA;A502;-21.228333;-43.767778;2019-12-04;23.90;15.30;8.60
BARBACENA;A502;-21.228333;-43.767778;2019-12-05;26.40;17.70;8.70
BARBACENA;A502;-21.228333;-43.767778;2019-12-06;26.90;18.80;8.10
BARBACENA;A502;-21.228333;-43.767778;2019-12-07;22.30;15.40;6.90
BARBACENA;A502;-21.228333;-43.767778;2019-12-08;25.40;14.20;11.20
BARBACENA;A502;-21.228333;-43.767778;2019-12-09;21.90;16.40;5.50
BARBACENA;A502;-21.228333;-43.767778;2019-12-10;25.60;18.00;7.60
BARBACENA;A502;-21.228333;-43.767778;2019-12-11;25.70;17.30;8.40
BARBACENA;A502;-21.228333;-43.767778;2019-12-12;24.40;17.70;6.70
BARBACENA;A502;-21.228333;-43.767778;2019-12-13;29.50;17.50;12.00
BARBACENA;A502;-21.228333;-43.767778;2019-12-14;25.50;18.00;7.50
BARBACENA;A502;-21.228333;-43.767778;2019-12-15;27.80;17.30;10.50
BARBACENA;A502;-21.228333;-43.767778;2019-12-16;29.40;16.10;13.30
BARBACENA;A502;-21.228333;-43.767778;2019-12-17;31.40;17.90;13.50
BARBACENA;A502;-21.228333;-43.767778;2019-12-18;31.60;17.40;14.20
BARBACENA;A502;-21.228333;-43.767778;2019-12-19;28.10;17.40;10.70
BARBACENA;A502;-21.228333;-43.767778;2019-12-20;26.10;16.50;9.60
BARBACENA;A502;-21.228333;-43.767778;2019-12-21;27.00;17.40;9.60
BARBACENA;A502;-21.228333;-43.767778;2019-12-22;31.00;16.80;14.20
BARBACENA;A502;-21.228333;-43.767778;2019-12-23;25.20;17.20;8.00
BARBACENA;A502;-21.228333;-43.767778;2019-12-24;22.60;16.30;6.30
BARBACENA;A502;-21.228333;-43.767778;2019-12-25;29.20;14.50;14.70
BARBACENA;A502;-21.228333;-43.767778;2019-12-26;30.00;16.80;13.20
BARBACENA;A502;-21.228333;-43.767778;2019-12-27;28.80;17.20;11.60
BARBACENA;A502;-21.228333;-43.767778;2019-12-28;27.70;17.00;10.70
BARBACENA;A502;-21.228333;-43.767778;2019-12-29;27.90;16.30;11.60
BARBACENA;A502;-21.228333;-43.767778;2019-12-30;27.60;15.00;12.60
BARBACENA;A502;-21.228333;-43.767778;2019-12-31;28.60;16.60;12.00
BARBACENA;A502;-21.228333;-43.767778;2020-01-01;29.60;17.10;12.50
BARBACENA;A502;-21.228333;-43.767778;2020-01-02;26.70;17.30;9.40
BARBACENA;A502;-21.228333;-43.767778;2020-01-03;26.40;17.50;8.90
BARBACENA;A502;-21.228333;-43.767778;2020-01-04;24.40;17.50;6.90
BARBACENA;A502;-21.228333;-43.767778;2020-01-05;28.10;15.90;12.20
BARBACENA;A502;-21.228333;-43.767778;2020-01-06;30.20;17.90;12.30
BARBACENA;A502;-21.228333;-43.767778;2020-01-07;31.70;17.10;14.60
BARBACENA;A502;-21.228333;-43.767778;2020-01-08;30.60;19.50;11.10
BARBACENA;A502;-21.228333;-43.767778;2020-01-09;29.30;17.80;11.50
BARBACENA;A502;-21.228333;-43.767778;2020-01-10;31.40;19.40;12.00
BARBACENA;A502;-21.228333;-43.767778;2020-01-11;31.30;18.50;12.80
BARBACENA;A502;-21.228333;-43.767778;2020-01-12;29.90;19.50;10.40
BARBACENA;A502;-21.228333;-43.767778;2020-01-13;29.20;19.40;9.80
BARBACENA;A502;-21.228333;-43.767778;2020-01-14;26.70;18.10;8.60
BARBACENA;A502;-21.228333;-43.767778;2020-01-15;29.50;15.40;14.10
BARBACENA;A502;-21.228333;-43.767778;2020-01-16;31.30;18.00;13.30
BARBACENA;A502;-21.228333;-43.767778;2020-01-17;27.40;19.70;7.70
BARBACENA;A502;-21.228333;-43.767778;2020-01-18;23.50;16.20;7.30
BARBACENA;A502;-21.228333;-43.767778;2020-01-19;24.80;16.80;8.00
BARBACENA;A502;-21.228333;-43.767778;2020-01-20;22.10;17.00;5.10
BARBACENA;A502;-21.228333;-43.767778;2020-01-21;22.40;16.20;6.20
BARBACENA;A502;-21.228333;-43.767778;2020-01-22;26.20;15.80;10.40
BARBACENA;A502;-21.228333;-43.767778;2020-01-23;20.30;16.40;3.90
BARBACENA;A502;-21.228333;-43.767778;2020-01-24;22.70;17.50;5.20
BARBACENA;A502;-21.228333;-43.767778;2020-01-25;28.10;16.10;12.00
